Date,Name,Score,Review,like
"January 26, 2020",Bernard Reis,1,"Completely frustrating experience. Paid extra money to get the air conditioner with connectivity, but it just doesn't work 9/10 times I try to use it. When it gets to connect to the device, it takes less than a minute to get disconnected again. Tried reinstalling the app, cleared the cache, reset router, replaced the router, but nothing works. Again, I'm completely frustrated.",7
"January 18, 2020",Gordon Inman,2,"Some good features, but this app isn't very smart. You would think once you connect to the device it would give the UI/UX for your specific device. I connected my new stove/oven, but the image used to represent my stove doesn't match my stovetop burner layout. The directions for the oven remote start are written generically to try to fit any product; ""look to see if you have this."" If they would put some effort into personalizing the experience to the device you purchased, I'd rate this higher.",8
"January 18, 2020",MrDurma,4,"This app works perfectly, it allowed us to download many more cycles for our Washer/Dryer. It really has cool features and we don't have any problems with it but there is one thing which is kind of bothering, in the Power Monitoring section it doesn't show almost any useful info about how much electricity has been consumed, it just shows ""rating?"" From 0 to 5. How are we supposed to know how much kWh is 1 and how much kWh is 5? That would make my rating and experience 5/5 :D",2
"January 26, 2020",K Kostas,3,"Good but not great for an app by LG. Not the most user interface friendly, and few adjustments by user. I downloaded it to add a washer/dryer extra cycles and it does not have some cycles that would be nice to have (like a soak cycle), they are just a bit different, and I can just have the same cycles by adjusting the temp and such on the existing ones.",1
"January 17, 2020",Greg Evans,3,"App is useful but limited and requires some updates. The WiFi setup took longer than it should, because the app was not clear about which button turned WiFi on. I had to reference the user's manual to turn on WiFi. I was using this app to use the smart analysis function. All tests pass, but I still have problems getting my new dishwasher to consistently complete a wash cycle. Ideally there would be a test for any component that is causing the dishwasher to stop.",1
"January 5, 2020",Ranelle Lucina,2,"I was able to connect to my lg appliances for the first few months. After an upgrade, all appliances show as disconnected, and I can no longer reconnect to my home wi-fi. 1/4/20 update: I emailed as requested, because after reinstalling the app, and resetting my router, I'm still not able to connect to all my appliances. There were a couple I was able to connect to, but it took several painful attempts. It keeps saying there are issues connecting with their servers.",0
"January 5, 2020",Tom,2,"LG air conditioning - Bugs are mostly fixed. I hope they don't break it again. Now if they would make the app actually useful. Please let me set temperature, mode and fan speed for scheduling. When I set repeating schedule I don't know what the temperature will be a week from now. There's no way to set it to all AUTO because this setting is pretty much useless. Time alone just doesn't cut it.",6
"January 19, 2020",Carlos Sanz,2,"It is not really helpful with my washing machine. Only predesigned programs can be chosen in the app and it does not let you make any modification of temp, spin and so on. It would also be nice to start a second program like spin or dry after washing, but for that you need to go back to your machine and select the remote start again... I just like receiving a notification when my laundry is done but, apart from that, not much value for washers...",9
"January 6, 2020",Yun Gi Jang,1,"Right now the app version is V3.0.1700001 and it seems that I can't connect my vacuum cleaner, at least for me it doesn't appear in the screen. However the app tells me that products like styler, oven, washer, including vacuum cleaner can only be added in standby mode, what does it mean?",3
"January 10, 2020",Ray Gozo,3,So far so good. (For Washing Machines). Some minor glitches... Other than OK. What I would like to to see ADDED to the downloadable cycles (in future update) is more TIME OPTION for the TIME DELAY programme. Currently you can only set it up from 3 to 19 hrs. An 1hr time delay would help a lot. Thanks LG.,1
